n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,rr,,,,robot1-sidecar,0,3.73,75.56,0.0,0.016,0.139,0.149
4,continuous,rr,,,,robot1-sidecar,1,3.12,75.71,0.0,0.016,0.168,0.19
4,continuous,rr,,,,robot1-sidecar,2,3.13,78.58,0.0,0.02,0.19,0.215
4,continuous,rr,,,,robot1-sidecar,3,3.44,82.58,0.0,0.027,0.216,0.245
4,continuous,rr,,,,robot1-sidecar,4,3.02,84.79,0.0,0.027,0.237,0.27
4,continuous,rr,,,,robot1-sidecar,5,2.55,84.24,0.0,0.035,0.258,0.292
4,continuous,rr,,,,robot1-sidecar,6,1.13,84.54,0.0,0.035,0.265,0.294
4,continuous,rr,,,,robot1-sidecar,7,1.68,84.48,0.0,0.039,0.272,0.297
4,continuous,rr,,,,robot1-sidecar,8,1.78,84.56,0.0,0.039,0.277,0.299
4,continuous,rr,,,,robot1-sidecar,9,1.72,84.91,0.0,0.043,0.284,0.301
4,continuous,rr,,,,robot1-sidecar,10,1.73,84.85,0.0,0.043,0.288,0.303
4,continuous,rr,,,,robot1-sidecar,11,1.59,84.59,0.0,0.047,0.295,0.306
4,continuous,rr,,,,robot1-sidecar,12,1.6,85.43,0.0,0.047,0.3,0.308
4,continuous,rr,,,,robot1-sidecar,13,1.21,84.54,0.0,0.051,0.306,0.31
4,continuous,rr,,,,robot1-sidecar,14,1.25,84.66,0.0,0.051,0.312,0.312
4,continuous,rr,,,,robot1-sidecar,15,1.64,84.59,0.0,0.055,0.318,0.315
4,continuous,rr,,,,robot1-sidecar,16,1.54,84.82,0.0,0.055,0.323,0.317
4,continuous,rr,,,,robot1-sidecar,17,1.63,84.86,0.0,0.059,0.33,0.319
4,continuous,rr,,,,robot1-sidecar,18,1.66,84.55,0.0,0.059,0.335,0.321
4,continuous,rr,,,,robot1-sidecar,19,1.11,84.57,0.0,0.062,0.342,0.324
4,continuous,rr,,,,robot1-sidecar,20,3.51,81.29,0.0,0.066,0.364,0.354
4,continuous,rr,,,,robot1-sidecar,21,3.45,81.25,0.0,0.07,0.395,0.396
4,continuous,rr,,,,robot1-sidecar,22,2.99,81.13,0.0,0.07,0.416,0.42
4,continuous,rr,,,,robot1-sidecar,23,3.67,82.09,0.0,0.082,0.444,0.454
4,continuous,rr,,,,robot1-sidecar,24,3.15,81.32,0.0,0.082,0.465,0.479
4,continuous,rr,,,,robot1-sidecar,25,2.12,81.39,0.0,0.09,0.484,0.5
4,continuous,rr,,,,robot1-sidecar,26,1.68,81.45,0.0,0.09,0.49,0.502
4,continuous,rr,,,,robot1-sidecar,27,1.57,81.35,0.0,0.094,0.497,0.504
